age,married,education,value_main_house,future_expenses,%_spend_future_win,risk,tot_amm_year_retirement_plans,tot_value_retirement_plans,tot_income_month,tot_loans_rest,tot_amm_acc,port_inv_val,ann_inv_income,monthly_expenses
6.0,6.0,11.0,0.0,3.0,5.0,3.0,5.0,5.0,6.0,0.0,3.0,0.0,0.0,4.0
6.0,2.0,12.0,6.0,3.0,4.0,4.0,5.0,6.0,6.0,3.0,3.0,4.0,1.0,5.0
6.0,2.0,6.0,5.0,3.0,1.0,3.0,0.0,5.0,5.0,0.0,5.0,6.0,3.0,6.0
4.0,2.0,8.0,3.0,1.0,4.0,3.0,1.0,3.0,4.0,3.0,1.0,0.0,0.0,4.0
3.0,2.0,4.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0
7.0,6.0,6.0,3.0,1.0,1.0,4.0,1.0,3.0,5.0,0.0,2.0,0.0,0.0,4.0
7.0,6.0,1.0,0.0,3.0,5.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0
6.0,2.0,6.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0
6.0,6.0,4.0,0.0,1.0,1.0,4.0,1.0,3.0,3.0,0.0,3.0,1.0,0.0,3.0
7.0,2.0,13.0,6.0,3.0,4.0,4.0,1.0,3.0,6.0,0.0,5.0,1.0,1.0,3.0
6.0,2.0,2.0,3.0,1.0,5.0,3.0,0.0,5.0,5.0,0.0,3.0,1.0,1.0,3.0
6.0,2.0,8.0,3.0,1.0,4.0,4.0,1.0,3.0,4.0,0.0,4.0,2.0,1.0,2.0
3.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,3.0
2.0,1.0,4.0,3.0,3.0,1.0,4.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,3.0
5.0,5.0,6.0,0.0,1.0,4.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
7.0,2.0,3.0,5.0,3.0,5.0,4.0,1.0,3.0,4.0,1.0,3.0,5.0,1.0,3.0
6.0,3.0,4.0,4.0,1.0,5.0,4.0,1.0,3.0,2.0,1.0,3.0,0.0,0.0,2.0
7.0,2.0,11.0,3.0,1.0,5.0,4.0,1.0,3.0,2.0,0.0,4.0,1.0,1.0,2.0
7.0,2.0,2.0,1.0,3.0,5.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0
6.0,2.0,10.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,3.0
7.0,6.0,2.0,0.0,1.0,1.0,4.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,2.0
4.0,2.0,8.0,4.0,3.0,4.0,4.0,1.0,3.0,5.0,1.0,4.0,0.0,0.0,3.0
4.0,2.0,2.0,3.0,1.0,4.0,4.0,1.0,3.0,5.0,1.0,1.0,0.0,0.0,3.0
6.0,6.0,3.0,2.0,3.0,5.0,4.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0
6.0,4.0,12.0,6.0,1.0,5.0,4.0,1.0,3.0,6.0,0.0,2.0,4.0,1.0,5.0
4.0,2.0,11.0,0.0,1.0,4.0,3.0,3.0,3.0,5.0,0.0,3.0,0.0,0.0,3.0
5.0,2.0,10.0,5.0,3.0,4.0,3.0,0.0,3.0,6.0,1.0,3.0,3.0,1.0,3.0
5.0,2.0,10.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,0.0,5.0,1.0,1.0,4.0
4.0,2.0,4.0,4.0,1.0,1.0,4.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,4.0
7.0,6.0,14.0,6.0,1.0,1.0,4.0,1.0,3.0,3.0,0.0,2.0,2.0,1.0,3.0
3.0,1.0,11.0,4.0,1.0,4.0,4.0,1.0,3.0,3.0,4.0,3.0,1.0,0.0,3.0
7.0,2.0,2.0,2.0,3.0,5.0,4.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0
4.0,2.0,11.0,4.0,1.0,4.0,4.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,4.0
5.0,1.0,6.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,3.0
5.0,2.0,8.0,4.0,1.0,2.0,4.0,3.0,3.0,5.0,0.0,4.0,0.0,0.0,3.0
4.0,2.0,6.0,0.0,2.0,1.0,4.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0
4.0,5.0,4.0,3.0,1.0,4.0,4.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0
7.0,2.0,11.0,3.0,3.0,4.0,4.0,1.0,3.0,3.0,0.0,3.0,2.0,1.0,3.0
6.0,6.0,2.0,3.0,3.0,1.0,4.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,3.0
4.0,2.0,6.0,0.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,4.0
6.0,1.0,2.0,0.0,1.0,3.0,3.0,1.0,3.0,1.0,0.0,3.0,3.0,0.0,1.0
3.0,2.0,11.0,4.0,3.0,1.0,4.0,1.0,1.0,6.0,2.0,3.0,0.0,0.0,3.0
5.0,1.0,11.0,4.0,3.0,2.0,2.0,3.0,5.0,6.0,3.0,3.0,6.0,3.0,4.0
5.0,2.0,2.0,3.0,2.0,4.0,4.0,1.0,3.0,5.0,2.0,1.0,0.0,0.0,5.0
6.0,2.0,2.0,5.0,3.0,1.0,4.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,3.0
5.0,2.0,6.0,4.0,1.0,3.0,4.0,1.0,3.0,3.0,4.0,0.0,0.0,0.0,3.0
6.0,2.0,11.0,6.0,3.0,1.0,3.0,1.0,3.0,5.0,0.0,4.0,6.0,2.0,5.0
6.0,2.0,12.0,6.0,3.0,1.0,2.0,1.0,3.0,5.0,0.0,3.0,6.0,0.0,6.0
6.0,1.0,2.0,2.0,1.0,5.0,4.0,1.0,3.0,3.0,0.0,4.0,0.0,0.0,2.0
5.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
3.0,2.0,8.0,6.0,3.0,1.0,3.0,2.0,1.0,6.0,4.0,3.0,1.0,1.0,6.0
3.0,2.0,8.0,3.0,1.0,5.0,4.0,1.0,3.0,4.0,2.0,1.0,0.0,0.0,4.0
6.0,2.0,10.0,5.0,3.0,1.0,4.0,1.0,3.0,6.0,0.0,5.0,0.0,0.0,6.0
5.0,2.0,6.0,5.0,3.0,3.0,4.0,3.0,3.0,5.0,0.0,3.0,0.0,0.0,1.0
6.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,3.0,0.0,0.0,4.0
7.0,6.0,11.0,6.0,1.0,4.0,3.0,5.0,5.0,0.0,0.0,4.0,4.0,1.0,4.0
6.0,2.0,2.0,5.0,1.0,1.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0
7.0,1.0,10.0,3.0,3.0,1.0,4.0,1.0,3.0,5.0,0.0,2.0,0.0,0.0,2.0
2.0,2.0,12.0,3.0,3.0,3.0,4.0,1.0,3.0,5.0,3.0,2.0,0.0,0.0,3.0
6.0,2.0,11.0,4.0,1.0,5.0,3.0,5.0,6.0,5.0,0.0,4.0,6.0,1.0,4.0
3.0,2.0,8.0,3.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0
7.0,2.0,4.0,2.0,1.0,4.0,4.0,1.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0
7.0,1.0,11.0,6.0,1.0,5.0,3.0,1.0,3.0,6.0,1.0,5.0,5.0,2.0,6.0
5.0,1.0,7.0,3.0,3.0,5.0,4.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0
7.0,6.0,2.0,3.0,1.0,5.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0
4.0,5.0,8.0,0.0,3.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,3.0
5.0,5.0,12.0,5.0,3.0,1.0,3.0,3.0,5.0,6.0,4.0,3.0,6.0,1.0,4.0
7.0,6.0,2.0,2.0,1.0,5.0,4.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0,3.0
4.0,1.0,6.0,0.0,1.0,2.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0
3.0,1.0,10.0,1.0,1.0,4.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0
7.0,6.0,2.0,4.0,1.0,3.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0
6.0,2.0,10.0,5.0,3.0,5.0,3.0,4.0,2.0,6.0,0.0,1.0,3.0,0.0,3.0
3.0,2.0,10.0,3.0,3.0,4.0,4.0,1.0,3.0,5.0,1.0,3.0,1.0,0.0,3.0
7.0,2.0,4.0,3.0,1.0,1.0,4.0,1.0,3.0,5.0,0.0,4.0,6.0,1.0,3.0
7.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,3.0,0.0,0.0,2.0
6.0,2.0,2.0,2.0,3.0,5.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0
7.0,6.0,11.0,5.0,1.0,5.0,4.0,1.0,3.0,3.0,0.0,3.0,1.0,1.0,2.0
6.0,2.0,8.0,5.0,1.0,5.0,4.0,1.0,3.0,2.0,0.0,3.0,2.0,1.0,4.0
7.0,6.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,4.0,0.0,3.0,0.0,0.0,3.0
4.0,2.0,4.0,3.0,3.0,1.0,4.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0
7.0,2.0,10.0,6.0,2.0,5.0,4.0,1.0,3.0,6.0,0.0,3.0,0.0,0.0,6.0
3.0,2.0,8.0,2.0,1.0,2.0,4.0,1.0,3.0,5.0,0.0,5.0,0.0,0.0,3.0
4.0,1.0,11.0,5.0,3.0,4.0,3.0,4.0,5.0,0.0,1.0,1.0,4.0,1.0,3.0
6.0,2.0,6.0,6.0,3.0,4.0,3.0,5.0,5.0,3.0,0.0,4.0,4.0,1.0,3.0
4.0,1.0,2.0,0.0,2.0,1.0,4.0,1.0,3.0,5.0,0.0,2.0,0.0,0.0,2.0
7.0,6.0,2.0,0.0,3.0,1.0,4.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,3.0
4.0,2.0,13.0,3.0,3.0,4.0,4.0,1.0,3.0,4.0,0.0,2.0,4.0,0.0,4.0
3.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,3.0
5.0,6.0,6.0,3.0,1.0,4.0,4.0,1.0,3.0,2.0,3.0,3.0,0.0,0.0,2.0
7.0,2.0,10.0,3.0,3.0,1.0,4.0,1.0,3.0,5.0,0.0,5.0,0.0,0.0,3.0
7.0,6.0,4.0,3.0,3.0,1.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0
3.0,2.0,8.0,3.0,1.0,2.0,4.0,2.0,2.0,6.0,1.0,4.0,2.0,1.0,3.0
4.0,2.0,11.0,3.0,1.0,1.0,4.0,0.0,1.0,5.0,1.0,2.0,0.0,0.0,3.0
4.0,2.0,10.0,0.0,3.0,1.0,4.0,2.0,1.0,3.0,1.0,3.0,4.0,0.0,4.0
4.0,5.0,2.0,0.0,1.0,5.0,3.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0
7.0,6.0,2.0,5.0,1.0,5.0,4.0,1.0,3.0,4.0,0.0,3.0,4.0,0.0,2.0
5.0,5.0,10.0,5.0,1.0,3.0,4.0,0.0,4.0,0.0,1.0,5.0,3.0,0.0,6.0
4.0,2.0,11.0,5.0,1.0,4.0,4.0,1.0,3.0,4.0,1.0,4.0,0.0,0.0,3.0
4.0,5.0,4.0,0.0,1.0,4.0,3.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,2.0
4.0,2.0,3.0,4.0,1.0,5.0,4.0,1.0,3.0,5.0,3.0,1.0,0.0,0.0,3.0
6.0,2.0,2.0,2.0,1.0,4.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0
5.0,2.0,8.0,3.0,3.0,1.0,4.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0
5.0,2.0,4.0,5.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0
7.0,2.0,3.0,3.0,1.0,4.0,4.0,1.0,3.0,2.0,0.0,3.0,0.0,0.0,1.0
5.0,1.0,12.0,5.0,1.0,4.0,4.0,3.0,3.0,0.0,0.0,3.0,5.0,1.0,3.0
4.0,2.0,6.0,0.0,3.0,3.0,4.0,1.0,1.0,3.0,1.0,2.0,4.0,0.0,2.0
4.0,2.0,4.0,4.0,1.0,2.0,4.0,1.0,3.0,5.0,1.0,1.0,0.0,0.0,3.0
4.0,2.0,8.0,3.0,3.0,1.0,4.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0
2.0,1.0,6.0,3.0,1.0,4.0,4.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0
4.0,1.0,6.0,3.0,3.0,4.0,4.0,1.0,3.0,5.0,0.0,2.0,0.0,0.0,3.0
5.0,2.0,6.0,4.0,2.0,5.0,3.0,1.0,3.0,0.0,0.0,2.0,5.0,0.0,5.0
3.0,2.0,7.0,3.0,2.0,1.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0
7.0,2.0,13.0,6.0,1.0,4.0,4.0,1.0,3.0,5.0,0.0,5.0,5.0,1.0,6.0
6.0,2.0,5.0,3.0,1.0,5.0,4.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,4.0
6.0,2.0,2.0,3.0,3.0,4.0,3.0,1.0,3.0,4.0,0.0,2.0,4.0,0.0,3.0
7.0,6.0,6.0,6.0,3.0,5.0,4.0,1.0,3.0,1.0,0.0,3.0,6.0,1.0,3.0
7.0,6.0,4.0,6.0,2.0,1.0,3.0,1.0,3.0,1.0,0.0,4.0,6.0,2.0,4.0
3.0,2.0,4.0,3.0,1.0,3.0,4.0,1.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0
5.0,6.0,2.0,3.0,2.0,5.0,4.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0
7.0,2.0,6.0,6.0,3.0,1.0,3.0,0.0,5.0,5.0,0.0,5.0,6.0,0.0,3.0
6.0,2.0,11.0,5.0,1.0,1.0,4.0,1.0,3.0,5.0,0.0,5.0,4.0,1.0,3.0
6.0,4.0,2.0,3.0,3.0,1.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0
6.0,2.0,10.0,6.0,3.0,5.0,3.0,0.0,6.0,1.0,3.0,5.0,6.0,2.0,6.0
5.0,2.0,2.0,3.0,3.0,4.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0
4.0,2.0,6.0,3.0,3.0,4.0,4.0,1.0,3.0,0.0,1.0,3.0,2.0,1.0,3.0
7.0,2.0,10.0,2.0,3.0,5.0,4.0,1.0,3.0,4.0,0.0,3.0,0.0,0.0,3.0
3.0,4.0,4.0,0.0,1.0,4.0,4.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,3.0
7.0,2.0,11.0,6.0,3.0,5.0,3.0,1.0,3.0,5.0,0.0,4.0,6.0,3.0,6.0
7.0,6.0,2.0,2.0,3.0,1.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,3.0
4.0,2.0,7.0,4.0,3.0,4.0,4.0,1.0,3.0,5.0,1.0,3.0,2.0,1.0,4.0
5.0,2.0,10.0,4.0,3.0,1.0,4.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0
7.0,2.0,11.0,5.0,3.0,5.0,4.0,1.0,3.0,4.0,0.0,4.0,1.0,1.0,3.0
2.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0
2.0,1.0,12.0,2.0,3.0,2.0,4.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,2.0
5.0,2.0,4.0,3.0,3.0,5.0,4.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0
4.0,5.0,8.0,3.0,3.0,4.0,4.0,1.0,3.0,4.0,2.0,2.0,0.0,0.0,2.0
6.0,2.0,13.0,6.0,1.0,1.0,3.0,1.0,3.0,6.0,0.0,5.0,6.0,3.0,6.0
3.0,2.0,1.0,0.0,3.0,5.0,4.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,3.0
5.0,2.0,11.0,3.0,3.0,4.0,4.0,0.0,4.0,6.0,0.0,2.0,0.0,0.0,3.0
4.0,6.0,2.0,0.0,3.0,4.0,4.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0
4.0,2.0,11.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,3.0
3.0,2.0,11.0,5.0,1.0,5.0,3.0,1.0,3.0,5.0,4.0,2.0,0.0,0.0,5.0
6.0,2.0,12.0,6.0,1.0,4.0,4.0,5.0,6.0,5.0,0.0,3.0,5.0,1.0,5.0
3.0,2.0,6.0,4.0,3.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
3.0,2.0,4.0,3.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,3.0
6.0,5.0,3.0,2.0,2.0,5.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0
7.0,6.0,4.0,3.0,3.0,1.0,4.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0
5.0,1.0,2.0,3.0,1.0,3.0,4.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0
7.0,2.0,10.0,6.0,3.0,4.0,4.0,0.0,5.0,6.0,0.0,1.0,4.0,1.0,5.0
2.0,1.0,8.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,4.0
3.0,2.0,2.0,1.0,2.0,5.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0
5.0,6.0,7.0,3.0,3.0,1.0,4.0,5.0,4.0,3.0,0.0,3.0,0.0,0.0,2.0
7.0,2.0,5.0,3.0,3.0,1.0,4.0,1.0,3.0,4.0,1.0,3.0,0.0,0.0,3.0
4.0,2.0,11.0,3.0,2.0,1.0,3.0,5.0,6.0,0.0,1.0,4.0,2.0,0.0,6.0
3.0,1.0,8.0,0.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0
3.0,2.0,8.0,3.0,1.0,5.0,3.0,1.0,3.0,2.0,3.0,3.0,0.0,0.0,4.0
7.0,2.0,12.0,6.0,3.0,4.0,2.0,1.0,3.0,5.0,0.0,3.0,6.0,2.0,5.0
3.0,4.0,4.0,0.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0
6.0,2.0,6.0,3.0,3.0,5.0,4.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0
6.0,2.0,4.0,2.0,1.0,4.0,4.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,3.0
5.0,2.0,3.0,3.0,3.0,4.0,4.0,1.0,3.0,6.0,4.0,2.0,6.0,3.0,3.0
6.0,2.0,6.0,5.0,3.0,5.0,4.0,1.0,3.0,5.0,0.0,4.0,0.0,0.0,2.0
7.0,2.0,11.0,3.0,1.0,5.0,3.0,3.0,3.0,5.0,0.0,5.0,6.0,1.0,4.0
6.0,2.0,11.0,4.0,3.0,5.0,3.0,0.0,5.0,6.0,3.0,3.0,5.0,1.0,4.0
7.0,2.0,6.0,6.0,3.0,1.0,4.0,1.0,3.0,4.0,0.0,5.0,0.0,0.0,3.0
5.0,2.0,11.0,5.0,2.0,4.0,4.0,3.0,4.0,6.0,0.0,3.0,2.0,1.0,3.0
7.0,2.0,13.0,5.0,1.0,1.0,4.0,1.0,3.0,5.0,0.0,3.0,6.0,3.0,4.0
4.0,2.0,11.0,5.0,2.0,1.0,4.0,2.0,3.0,6.0,4.0,1.0,0.0,0.0,5.0
3.0,2.0,11.0,2.0,1.0,1.0,4.0,0.0,3.0,6.0,1.0,3.0,2.0,1.0,3.0
4.0,2.0,12.0,6.0,2.0,1.0,1.0,0.0,1.0,6.0,4.0,3.0,5.0,1.0,5.0
6.0,2.0,10.0,4.0,1.0,4.0,4.0,0.0,6.0,5.0,0.0,4.0,2.0,1.0,5.0
7.0,2.0,6.0,6.0,3.0,4.0,4.0,1.0,3.0,6.0,0.0,5.0,6.0,3.0,6.0
4.0,6.0,9.0,0.0,1.0,4.0,3.0,1.0,3.0,5.0,1.0,1.0,0.0,0.0,3.0
6.0,6.0,2.0,0.0,3.0,2.0,4.0,1.0,3.0,2.0,1.0,3.0,1.0,0.0,2.0
4.0,2.0,11.0,5.0,3.0,5.0,3.0,1.0,3.0,6.0,0.0,5.0,4.0,0.0,6.0
7.0,2.0,6.0,6.0,3.0,1.0,4.0,1.0,3.0,2.0,0.0,3.0,0.0,0.0,5.0
4.0,2.0,10.0,5.0,1.0,4.0,3.0,1.0,3.0,0.0,0.0,3.0,3.0,2.0,3.0
3.0,5.0,6.0,0.0,1.0,5.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
